Postal Code,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,X,Y
328844,891,949.7,861,"1,686.00",557.8,"2,302.70","2,195.00","1,072.00",s,s,s,s,30167.9705,34016.344
328846,"1,397.50",934.5,"1,090.50",969.4,"1,188.30","1,503.00","1,442.30","1,578.00","1,510.00","1,256.50","1,406.30","1,514.50",30186.9359,34038.6396
328847,562,362.3,465.7,639.1,535.5,578.4,585.3,647.3,616.4,568,602,540,30151.0748,33981.1039
328859,s,s,s,s,s,s,s,s,s,s,s,s,30220.4883,34046.3545
328860,s,s,s,s,s,s,s,s,s,s,s,s,30253.003,34077.9656
328862,s,s,s,s,s,s,s,s,s,s,s,s,30257.1823,34073.2815
328866,s,s,s,s,s,s,s,s,s,s,s,s,30266.2867,34065.8185
328869,s,s,s,s,s,s,s,s,s,s,s,s,30255.0391,34014.9264
328882,653.1,545.4,545.4,706.3,591.6,719,721.7,802.7,768.8,720.6,762.4,618,30342.0586,34001.6257
328913,s,s,s,s,s,s,s,s,s,s,s,s,30244.0795,33998.0091
328917,s,s,s,s,s,s,s,s,s,s,s,s,30235.3109,33987.8309
328918,s,s,s,s,s,s,s,s,s,s,s,s,30205.2662,34011.4723
328919,s,s,s,s,s,s,s,s,s,s,s,s,30229.3539,33981.7233
328920,s,s,s,s,s,s,s,s,s,s,s,s,30199.9011,34005.4146
328922,s,s,s,s,s,s,s,s,s,s,s,s,30196.5161,34001.3035
328923,s,s,s,s,s,s,s,s,s,s,s,s,30221.1222,33971.7771
328924,s,s,s,s,s,s,s,s,s,s,s,s,30196.511,33992.5327
328927,s,s,s,s,s,s,s,s,s,s,s,s,30182.5964,33985.1156
328930,s,s,s,s,s,s,s,s,s,s,s,s,30209.2109,33957.2144
328931,s,s,s,s,s,s,s,s,s,s,s,s,30203.6289,33951.4004
328933,457,306.2,329.9,456.1,402,386.5,406.3,424.4,474.6,452.8,448.4,436.8,30182.4729,33941.5158
329001,467.2,326.8,409.2,559.9,456.8,531.4,549.4,461.1,523.9,497.2,514.3,446,31452.3346,34315.6474
329022,639.7,460.9,517.2,609.9,535.4,659.3,677.9,748.2,745.4,560.6,653.1,585.4,31545.6535,34143.4143
329023,621.4,407.9,503.2,638.7,522.3,661.7,635.4,709,725.4,642.5,685.9,572.8,31581.2551,34196.3571
329089,483.6,647.8,578.1,593.2,828.1,663,715.3,775.3,876.5,791.6,891.3,775.4,29772.0735,34349.8774
329100,s,s,s,s,s,s,s,s,s,s,s,s,29793.6715,34377.2247
329106,s,s,s,s,s,s,s,s,s,s,s,s,29804.6351,34391.6414
329108,s,s,s,s,s,s,s,s,s,s,s,s,29809.5401,34396.4685
329111,422.6,526.8,432.1,440.2,653.9,502.4,589.4,639.9,607.6,583.2,565.5,559.1,29779.7874,34457.7367
329112,375.2,452.9,410.1,446.8,576,477.4,543.5,555.6,528,510.4,592.4,550.9,29772.0794,34512.5236
329137,246.9,294.9,257.8,279.6,419.9,348.1,367.7,370.7,358,330.9,352.5,340.6,29590.0274,34425.9188
329138,259.6,358.8,314.3,350.2,527.4,399.9,417.7,450.7,457.5,454.6,500.8,433.4,29649.173,34438.2617
329141,726.5,858.3,663.8,742.4,"1,006.60",810.9,903.6,933.6,789.8,859.6,984.6,872.7,29731.7051,34419.8264
329186,s,s,s,s,s,s,s,s,s,s,s,s,29020.2657,34352.1084
329192,368.1,505.7,454.4,492.7,635.9,528.7,570.4,578.2,594.6,512,622.1,590.2,29033.3459,34415.5693
329215,594.2,708.3,630.1,673.9,871.1,724,766.8,840.2,820.5,795.6,825.6,804.8,29005.1048,34480.1384
329216,539.4,688.8,644.6,682.3,908.7,724.7,777,814.4,883.3,835.6,796.2,797.8,29013.1026,34527.8334
329217,523.3,709.8,661.9,730.4,819.7,721.8,642.4,747.2,593.9,699.8,897.6,785.1,29026.2185,34385.1308
329317,499.3,715.9,589.6,642,813.3,680.6,773.4,802.3,692.6,711.8,743.4,715.9,29840.766,34254.008
329318,s,s,s,s,s,s,s,s,s,s,s,s,29845.7252,34286.3308
329319,s,s,s,s,s,s,s,s,s,s,s,s,29872.3043,34292.6736
329320,s,s,s,s,s,s,s,s,s,s,s,s,29877.0011,34297.4232
329321,s,s,s,s,s,s,s,s,s,s,s,s,29881.2645,34302.338
329322,s,s,s,s,s,s,s,s,s,s,s,s,29885.4422,34307.343
329325,483.8,596.4,472.7,538.1,751.6,576.2,612.4,670.4,654.4,659.7,598.9,658.8,29937.6624,34296.5215
329326,s,s,s,s,s,s,s,s,s,s,s,s,29901.1075,34326.0477
329327,s,s,s,s,s,s,s,s,s,s,s,s,29905.4509,34330.7574
329328,s,s,s,s,s,s,s,s,s,s,s,s,29908.7346,34336.3998
329330,s,s,s,s,s,s,s,s,s,s,s,s,29917.4636,34345.9062
329331,s,s,s,s,s,s,s,s,s,s,s,s,29921.5974,34350.85
329332,s,s,s,s,s,s,s,s,s,s,s,s,29925.7636,34355.76
329340,s,s,s,s,s,s,s,s,s,s,s,-,29987.9361,34430.9962
329342,305.5,479.1,448.5,458.2,610,499,500.9,551.5,727.1,708.6,790.7,662.1,29945.6349,34403.3288
329370,396.3,682.5,604.9,678.6,975.1,773.8,620.6,742.4,833.2,644,956.3,716.4,29155.9593,34420.514
329371,-,-,-,-,s,5.7,53.5,157.2,365,376.4,410.7,456.9,29156.3963,34451.8849
329387,340.8,517.2,549,524.3,758,636.5,560.6,643.1,623.2,581.8,576.6,570.3,29152.5709,34483.2414
329410,520.1,646.4,591.1,608.8,677,601.2,710.2,723.6,701.7,678.8,791.3,722.9,29095.3428,34363.468
329415,361.1,410.2,345.3,365.3,557.4,446.3,492.8,508.7,588.1,513.5,509.3,492.9,29113.4869,34395.4981
329425,284,381.6,315.1,357.3,587.1,431.9,498.9,529.2,571.4,529.8,532.9,523.4,29107.8412,34461.0645
